1,1,Juan,Pérez,Cédula,123456789,M,123-456-7890,987-654-3210,juan.perez@email.com,Medellín,Colombia,Medellín,Calle 123,S,Programador,Sucursal 1,Barrio ABC,2,01/01/1990,1
2,1,Juan,Zuluaga,Cédula,123456789,M,123-456-7890,987-654-3210,juan.perez@email.com,Medellín,Colombia,Medellín,Calle 123,S,Programador,Sucursal 1,Barrio ABC,1,01/01/1990,1
3,2,Ana,López,Pasaporte,987654321,F,987-654-3210,123-456-7890,ana.lopez@email.com,Bogotá,Colombia,Bogotá,Calle 456,N,Analista,Sucursal 2,Barrio XYZ,0,15/03/1985,1
4,2,Carlos,González,Cédula,567890123,M,345-678-9012,567-890-1234,carlos.gonzalez@email.com,Cali,Colombia,Cali,Calle 789,N,Diseñador,Sucursal 3,Barrio LMN,0,20/05/1978,1
5,3,Laura,Martínez,Cédula,234567890,F,234-567-8901,456-789-0123,laura.martinez@email.com,Barranquilla,Colombia,Barranquilla,Calle 012,N,Gerente,Sucursal 4,Barrio PQR,0,10/08/1995,1
6,3,Javier,Hernández,Pasaporte,345678901,M,456-789-0123,678-901-2345,javier.hernandez@email.com,Medellín,Colombia,Medellín,Calle 345,N,Programador,Sucursal 5,Barrio XYZ,0,25/11/1980,1
7,4,Mónica,Vega,Cédula,456789012,F,567-890-1234,789-012-3456,monica.vega@email.com,Bogotá,Colombia,Bogotá,Calle 678,N,Analista,Sucursal 6,Barrio ABC,0,30/04/1987,1
8,4,Ricardo,Sánchez,Cédula,678901234,M,678-901-2345,890-123-4567,ricardo.sanchez@email.com,Cali,Colombia,Cali,Calle 901,N,Diseñador,Sucursal 7,Barrio LMN,0,12/07/1975,1
9,5,Isabel,Gómez,Cédula,789012345,F,789-012-3456,901-234-5678,isabel.gomez@email.com,Barranquilla,Colombia,Barranquilla,Calle 234,N,Gerente,Sucursal 8,Barrio PQR,0,05/09/1992,1
10,5,Eduardo,Luna,Cédula,890123456,M,890-123-4567,012-345-6789,eduardo.luna@email.com,Medellín,Colombia,Medellín,Calle 567,S,Programador,Sucursal 9,Barrio XYZ,1,18/02/1982,1
11,6,María,Díaz,Cédula,901234567,F,012-345-6789,123-456-7890,maria.diaz@email.com,Bogotá,Colombia,Bogotá,Calle 789,N,Analista,Sucursal 10,Barrio ABC,0,22/06/1989,1
12,6,Alejandro,Rojas,Cédula,123012345,M,123-012-3456,234-567-8901,alejandro.rojas@email.com,Cali,Colombia,Cali,Calle 012,N,Diseñador,Sucursal 11,Barrio LMN,0,14/03/1996,1
13,7,Sofía,Mendoza,Cédula,345123456,F,345-123-4567,456-789-0123,sofia.mendoza@email.com,Barranquilla,Colombia,Barranquilla,Calle 123,S,Gerente,Sucursal 12,Barrio PQR,1,27/09/1984,1
14,7,Martín,Suárez,Pasaporte,567234567,M,567-234-5678,678-901-2345,martin.suarez@email.com,Medellín,Colombia,Medellín,Calle 234,N,Programador,Sucursal 13,Barrio XYZ,0,19/01/1981,1
15,8,Luisa,Herrera,Cédula,789345678,F,789-345-6789,890-123-4567,luisa.herrera@email.com,Bogotá,Colombia,Bogotá,Calle 345,S,Analista,Sucursal 14,Barrio ABC,1,02/04/1993,1
16,8,Andrés,Torres,Pasaporte,901456789,M,901-456-7890,012-345-6789,andres.torres@email.com,Cali,Colombia,Cali,Calle 456,S,Diseñador,Sucursal 15,Barrio LMN,1,25/07/1977,1
17,1,Elena,García,Cédula,123567890,F,123-567-8901,234-567-8901,elena.garcia@email.com,Barranquilla,Colombia,Barranquilla,Calle 567,N,Gerente,Sucursal 16,Barrio PQR,0,08/11/1986,1
